#PRODUCTID;SKU;TITLE;QUANTITY;PURCHASE_PRICE;VENDOR;SERIAL;PURCHASE_DATE;MERCI_STATUS
265;"BAH019342";"Balance, Thin Film" size;"1";"0.00";"";"";"";"surplus" 
266;"BAL201101";"Balance, 5kg X 1g" size;"1";"0.00";"";"";"";"surplus" 
267;"BAMA00001";"Balance, Analytical, Ag204, Mettler" size;"1";"0.00";"";"";"";"surplus" 
268;"BAMA00002";"Balance, Analytical, Ag204, Mettler" size;"1";"0.00";"";"";"";"available" 
269;"BAMA00003";"Balance, Analytical, Ag204, Mettler" size;"1";"0.00";"";"";"";"retired" 
270;"BAMA00004";"Balance, Analytical, Ab104, Mettler" size;"1";"0.00";"";"";"";"none" 
271;"BAMA00005";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
272;"BAMA00006";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
273;"BAMA00007";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
274;"BAMA00008";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
275;"BAMA00009";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
276;"BAMA00010";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
277;"BAMA00011";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
278;"BAMA00055";"Balance, Analytical, 200g, Step 1mg, Toledo, Mettler" size;"1";"0.00";"";"";"";"available" 
279;"BAMA00056";"Balance, Analytical, 220g, 0.1mg Step, Mettler" size;"1";"0.00";"";"";"";"lost" 
280;"BAMA00057";"Balance, Analytical, 220g, 0.1mg Step, Mettler" size;"1";"0.00";"";"";"";"lost" 
281;"BAMA00058";"Balance, Analytical, 220g, 0.1mg Step, Mettler" size;"1";"0.00";"";"";"";"lost" 
282;"BAMA00059";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
283;"BAMA00060";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
284;"BAMA00061";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
285;"BAMA00062";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
286;"BAMA00063";"Balance, Analytical, Ab204s, Mettler" size;"1";"0.00";"";"";"";"available" 
287;"BAMA00064";"Balance, Analytical, 220g, 0.01mg Step, Ab265sdu, Mettler" size;"1";"0.00";"";"";"";"available" 
